City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
424,Suraabad,AZ,40.8192,49.4687,51.98,76,100,39.95,overcast clouds
425,Fortuna,US,40.5982,-124.1573,53.94,95,90,4.0,overcast clouds
426,Chama,CH,47.1821,8.4636,49.03,90,40,0.0,mist
427,Saint-joseph,RE,-21.3667,55.6167,73.78,76,40,8.34,scattered clouds
428,Ust-tsilma,RU,65.441,52.1498,22.21,81,96,10.58,overcast clouds
429,Del rio,US,29.3627,-100.8968,75.22,73,40,10.36,scattered clouds
430,Tilichiki,RU,60.4667,166.1,5.31,96,40,4.03,scattered clouds
431,Ituporanga,BR,-27.4144,-49.6025,73.0,54,67,4.88,broken clouds
432,Alice town,BS,25.7167,-79.3,76.23,72,1,12.97,clear sky
433,Chik ballapur,IN,13.4342,77.7242,71.22,94,100,5.12,light rain
434,Margate,GB,51.3813,1.3862,55.96,90,88,4.47,overcast clouds
435,Hambantota,LK,6.1241,81.1185,78.13,83,60,11.34,broken clouds
436,Ha giang,VN,22.8333,104.9833,61.34,92,62,0.94,broken clouds
437,Chuy,UY,-33.6971,-53.4616,68.32,51,24,12.93,few clouds
438,Mawlaik,MM,23.6333,94.4167,70.84,89,76,0.36,broken clouds
439,Nome,US,64.5011,-165.4064,1.47,85,90,0.0,overcast clouds
440,Waingapu,ID,-9.6567,120.2641,81.16,82,100,3.87,light rain
441,Maridi,SS,4.9158,29.4742,75.07,73,100,8.41,light rain
442,Lompoc,US,34.6391,-120.4579,69.08,75,1,6.91,clear sky
443,Jiujiang,CN,29.7333,115.9833,54.18,50,68,6.55,broken clouds
444,Port-gentil,GA,-0.7193,8.7815,78.76,94,75,9.22,light rain
445,Benghazi,LY,32.1167,20.0667,76.14,50,100,12.17,overcast clouds
446,Comarapa,BO,-17.9,-64.4833,77.32,39,84,10.09,broken clouds
447,Hasaki,JP,35.7333,140.8333,54.0,60,0,23.67,clear sky
448,Aksarka,RU,66.5606,67.7975,-2.13,95,17,5.5,few clouds
449,Hay river,CA,60.8156,-115.7999,19.38,93,75,6.91,broken clouds
450,Laja,CL,-37.2667,-72.7,66.49,24,95,2.15,overcast clouds
451,Mahina,PF,-17.5065,-149.489,78.57,73,75,0.0,broken clouds
452,Saint-georges,GD,12.0564,-61.7485,85.68,66,40,14.97,scattered clouds
453,Sao joao da barra,BR,-21.6403,-41.0511,73.49,88,100,12.28,light rain
454,Puerto leguizamo,CO,-0.1934,-74.7819,91.98,45,51,6.78,broken clouds
455,Saveh,IR,35.0213,50.3566,54.09,62,0,2.35,clear sky
456,Portland,US,45.5234,-122.6762,49.53,92,75,3.0,broken clouds
457,Qaqortoq,GL,60.7167,-46.0333,19.9,72,0,4.59,clear sky
458,Vao,NC,-22.6667,167.4833,73.72,88,37,9.91,scattered clouds
459,Fontem,CM,5.4685,9.8818,69.55,89,80,0.87,moderate rain
460,Syracuse,IT,37.0881,15.2792,69.85,88,38,21.97,scattered clouds
461,Vila velha,BR,-20.3297,-40.2925,78.75,87,90,18.01,light rain
462,Northam,GB,51.0333,-4.2167,56.82,97,100,5.97,overcast clouds
463,Laramie,US,41.3114,-105.5911,43.16,40,1,10.0,clear sky
464,Portachuelo,BO,-17.35,-63.4,97.84,33,99,6.04,overcast clouds
465,Tomatlan,MX,19.9333,-105.25,84.61,57,13,2.26,few clouds
466,Vadso,NO,70.0744,29.7487,31.08,80,20,8.05,few clouds
467,Banda aceh,ID,5.5577,95.3222,77.81,86,100,4.47,light rain
468,Corinth,GR,37.9407,22.9573,59.9,60,100,9.06,overcast clouds
469,Ancud,CL,-41.8697,-73.8203,58.53,63,80,3.38,broken clouds
470,Dunedin,NZ,-45.8742,170.5036,57.79,90,97,3.44,overcast clouds
471,Dhidhdhoo,MV,6.8833,73.1,82.2,75,89,17.56,light rain
472,Nakamura,JP,32.9833,132.9333,51.48,77,7,6.04,clear sky
473,Kamaishi,JP,39.2667,141.8833,51.33,74,22,14.27,few clouds
474,Kieta,PG,-6.2167,155.6333,78.33,87,38,3.94,moderate rain
475,Wanning,CN,18.8003,110.3967,67.51,75,33,7.87,scattered clouds
476,Port blair,IN,11.6667,92.75,81.75,81,94,15.7,light rain
477,La asuncion,VE,11.0333,-63.8628,94.73,43,4,16.11,clear sky
478,Cayenne,GF,4.9333,-52.3333,82.44,86,99,3.0,light rain
479,Te anau,NZ,-45.4167,167.7167,51.21,97,97,0.65,overcast clouds
480,Aguimes,ES,27.9054,-15.4461,68.63,62,20,14.97,few clouds
